publication_citation,publication_authors,publication_year,publication_title,publication_publisher,publication_doi,publication_with_reported_data,locality,country_continent,habitat_description,habitat_type,category,group,micro_type,water_depth_m,water_depth_m_value,water_depth_m_location,chla_gm2,log_chla_gm2,chla_gm2_value,chla_gm2_conversion,chla_gm2_location,chla_gm3,log_chla_gm3,afdm_gm2,log_afdm_gm2,afdm_gm2_value,afdm_gm2_conversion,afdm_gm2_location,water_tp_ugl,log_water_tp_ugl,water_tp_ugl_conversion,water_tp_ugl_location,tp_stock_gm2,log_tp_stock_gm2,tp_stock_gm2_value,tp_stock_gm2_conversion,tp_stock_gm2_location,tp_stock_gm3,log_tp_stock_gm3,tn_stock_gm2,log_tn_stock_gm2,tn_stock_gm2_value,tn_stock_gm2_conversion,tn_stock_gm2_location
"Murdock et al., 2013","Murdock, J. N., Shields Jr, F. D., & Lizotte Jr, R. E.",2013,Periphyton responses to nutrient and atrazine mixtures introduced through agricultural runoff,Ecotoxicology,https://doi.org/10.1007/s10646-012-1018-9,NA,Mississippi,United States of America,Coldwater River riverine wetland,floodplain_wetland,wetland,wetland,periphyton on artificial substrate,0.28,value,methods text,0.0182,-1.74,mean,mg/m2 to g/m2,table 2,0.07,-1.187,-9999,-9999,NA,NA,NA,1300,3.114,mg/l to ug/l,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Murdock et al., 2013","Murdock, J. N., Shields Jr, F. D., & Lizotte Jr, R. E.",2013,Periphyton responses to nutrient and atrazine mixtures introduced through agricultural runoff,Ecotoxicology,https://doi.org/10.1007/s10646-012-1018-9,NA,Mississippi,United States of America,Coldwater River riverine wetland,floodplain_wetland,wetland,wetland,periphyton on artificial substrate,0.28,value,methods text,0.0157,-1.804,mean,mg/m2 to g/m2,table 2,0.06,-1.251,-9999,-9999,NA,NA,NA,1400,3.146,mg/l to ug/l,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Murdock et al., 2013","Murdock, J. N., Shields Jr, F. D., & Lizotte Jr, R. E.",2013,Periphyton responses to nutrient and atrazine mixtures introduced through agricultural runoff,Ecotoxicology,https://doi.org/10.1007/s10646-012-1018-9,NA,Mississippi,United States of America,Coldwater River riverine wetland,floodplain_wetland,wetland,wetland,periphyton on artificial substrate,0.28,value,methods text,0.0218,-1.662,mean,mg/m2 to g/m2,table 2,0.08,-1.109,-9999,-9999,NA,NA,NA,1600,3.204,mg/l to ug/l,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Murdock et al., 2013","Murdock, J. N., Shields Jr, F. D., & Lizotte Jr, R. E.",2013,Periphyton responses to nutrient and atrazine mixtures introduced through agricultural runoff,Ecotoxicology,https://doi.org/10.1007/s10646-012-1018-9,NA,Mississippi,United States of America,Coldwater River riverine wetland,floodplain_wetland,wetland,wetland,periphyton on artificial substrate,0.28,value,methods text,0.0064,-2.194,mean,mg/m2 to g/m2,table 2,0.02,-1.641,-9999,-9999,NA,NA,NA,1700,3.23,mg/l to ug/l,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Murdock et al., 2013","Murdock, J. N., Shields Jr, F. D., & Lizotte Jr, R. E.",2013,Periphyton responses to nutrient and atrazine mixtures introduced through agricultural runoff,Ecotoxicology,https://doi.org/10.1007/s10646-012-1018-9,NA,Mississippi,United States of America,Coldwater River riverine wetland,floodplain_wetland,wetland,wetland,periphyton on artificial substrate,0.28,value,methods text,0.0138,-1.86,mean,mg/m2 to g/m2,table 2,0.05,-1.307,-9999,-9999,NA,NA,NA,1800,3.255,mg/l to ug/l,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Murdock et al., 2013","Murdock, J. N., Shields Jr, F. D., & Lizotte Jr, R. E.",2013,Periphyton responses to nutrient and atrazine mixtures introduced through agricultural runoff,Ecotoxicology,https://doi.org/10.1007/s10646-012-1018-9,NA,Mississippi,United States of America,Coldwater River riverine wetland,floodplain_wetland,wetland,wetland,periphyton on artificial substrate,0.28,value,methods text,0.0176,-1.754,mean,mg/m2 to g/m2,table 2,0.06,-1.202,-9999,-9999,NA,NA,NA,2000,3.301,mg/l to ug/l,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Murdock et al., 2013","Murdock, J. N., Shields Jr, F. D., & Lizotte Jr, R. E.",2013,Periphyton responses to nutrient and atrazine mixtures introduced through agricultural runoff,Ecotoxicology,https://doi.org/10.1007/s10646-012-1018-9,NA,Mississippi,United States of America,Coldwater River riverine wetland,floodplain_wetland,wetland,wetland,periphyton on artificial substrate,0.28,value,methods text,0.0207,-1.684,mean,mg/m2 to g/m2,table 2,0.07,-1.131,-9999,-9999,NA,NA,NA,2100,3.322,mg/l to ug/l,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Murdock et al., 2013","Murdock, J. N., Shields Jr, F. D., & Lizotte Jr, R. E.",2013,Periphyton responses to nutrient and atrazine mixtures introduced through agricultural runoff,Ecotoxicology,https://doi.org/10.1007/s10646-012-1018-9,NA,Mississippi,United States of America,Coldwater River riverine wetland,floodplain_wetland,wetland,wetland,periphyton on artificial substrate,0.28,value,methods text,0.0299,-1.524,mean,mg/m2 to g/m2,table 2,0.11,-0.971,-9999,-9999,NA,NA,NA,2100,3.322,mg/l to ug/l,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Murdock et al., 2013","Murdock, J. N., Shields Jr, F. D., & Lizotte Jr, R. E.",2013,Periphyton responses to nutrient and atrazine mixtures introduced through agricultural runoff,Ecotoxicology,https://doi.org/10.1007/s10646-012-1018-9,NA,Mississippi,United States of America,Coldwater River riverine wetland,floodplain_wetland,wetland,wetland,periphyton on artificial substrate,0.28,value,methods text,0.0326,-1.487,mean,mg/m2 to g/m2,table 2,0.12,-0.934,-9999,-9999,NA,NA,NA,2100,3.322,mg/l to ug/l,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Murdock et al., 2013","Murdock, J. N., Shields Jr, F. D., & Lizotte Jr, R. E.",2013,Periphyton responses to nutrient and atrazine mixtures introduced through agricultural runoff,Ecotoxicology,https://doi.org/10.1007/s10646-012-1018-9,NA,Mississippi,United States of America,Coldwater River riverine wetland,floodplain_wetland,wetland,wetland,periphyton on artificial substrate,0.28,value,methods text,0.0079,-2.102,mean,mg/m2 to g/m2,table 2,0.03,-1.55,-9999,-9999,NA,NA,NA,2200,3.342,mg/l to ug/l,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Murdock et al., 2013","Murdock, J. N., Shields Jr, F. D., & Lizotte Jr, R. E.",2013,Periphyton responses to nutrient and atrazine mixtures introduced through agricultural runoff,Ecotoxicology,https://doi.org/10.1007/s10646-012-1018-9,NA,Mississippi,United States of America,Coldwater River riverine wetland,floodplain_wetland,wetland,wetland,periphyton on artificial substrate,0.28,value,methods text,0.0128,-1.893,mean,mg/m2 to g/m2,table 2,0.05,-1.34,-9999,-9999,NA,NA,NA,2400,3.38,mg/l to ug/l,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Murdock et al., 2013","Murdock, J. N., Shields Jr, F. D., & Lizotte Jr, R. E.",2013,Periphyton responses to nutrient and atrazine mixtures introduced through agricultural runoff,Ecotoxicology,https://doi.org/10.1007/s10646-012-1018-9,NA,Mississippi,United States of America,Coldwater River riverine wetland,floodplain_wetland,wetland,wetland,periphyton on artificial substrate,0.28,value,methods text,0.0058,-2.237,mean,mg/m2 to g/m2,table 2,0.02,-1.684,-9999,-9999,NA,NA,NA,2700,3.431,mg/l to ug/l,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Murdock et al., 2013","Murdock, J. N., Shields Jr, F. D., & Lizotte Jr, R. E.",2013,Periphyton responses to nutrient and atrazine mixtures introduced through agricultural runoff,Ecotoxicology,https://doi.org/10.1007/s10646-012-1018-9,NA,Mississippi,United States of America,Coldwater River riverine wetland,floodplain_wetland,wetland,wetland,periphyton on artificial substrate,0.28,value,methods text,0.0093,-2.032,mean,mg/m2 to g/m2,table 2,0.03,-1.479,-9999,-9999,NA,NA,NA,3300,3.519,mg/l to ug/l,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Murdock et al., 2013","Murdock, J. N., Shields Jr, F. D., & Lizotte Jr, R. E.",2013,Periphyton responses to nutrient and atrazine mixtures introduced through agricultural runoff,Ecotoxicology,https://doi.org/10.1007/s10646-012-1018-9,NA,Mississippi,United States of America,Coldwater River riverine wetland,floodplain_wetland,wetland,wetland,periphyton on artificial substrate,0.28,value,methods text,0.0286,-1.544,mean,mg/m2 to g/m2,table 2,0.1,-0.991,-9999,-9999,NA,NA,NA,3400,3.531,mg/l to ug/l,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Murdock et al., 2013","Murdock, J. N., Shields Jr, F. D., & Lizotte Jr, R. E.",2013,Periphyton responses to nutrient and atrazine mixtures introduced through agricultural runoff,Ecotoxicology,https://doi.org/10.1007/s10646-012-1018-9,NA,Mississippi,United States of America,Coldwater River riverine wetland,floodplain_wetland,wetland,wetland,periphyton on artificial substrate,0.28,value,methods text,0.0459,-1.338,mean,mg/m2 to g/m2,table 2,0.16,-0.785,-9999,-9999,NA,NA,NA,3800,3.58,mg/l to ug/l,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Musko et al., 1998","Musko, I. B., Lakatos, G., Biro, P., & Zolyomi, Z.",1998,Aspects of the population dynamics of Corophium curvispinum GO Sars in reed belts along a trophic gradient in Lake Balaton (Hungary),International review of hydrobiology,https://doi.org/10.1002/iroh.19980830509,NA,NA,Hungary,Lake Balaton eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epiphyton on Corophium curvispinum,NA,NA,NA,0.0169,-1.772,mean,mg/m2 to g/m2,table 1,-9999,-9999,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Musko et al., 1998","Musko, I. B., Lakatos, G., Biro, P., & Zolyomi, Z.",1998,Aspects of the population dynamics of Corophium curvispinum GO Sars in reed belts along a trophic gradient in Lake Balaton (Hungary),International review of hydrobiology,https://doi.org/10.1002/iroh.19980830509,NA,NA,Hungary,Lake Balaton eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epiphyton on Corophium curvispinum,NA,NA,NA,0.0195,-1.71,mean,mg/m2 to g/m2,table 1,-9999,-9999,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Musko et al., 1998","Musko, I. B., Lakatos, G., Biro, P., & Zolyomi, Z.",1998,Aspects of the population dynamics of Corophium curvispinum GO Sars in reed belts along a trophic gradient in Lake Balaton (Hungary),International review of hydrobiology,https://doi.org/10.1002/iroh.19980830509,NA,NA,Hungary,Lake Balaton eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epiphyton on Corophium curvispinum,NA,NA,NA,0.0566,-1.247,mean,mg/m2 to g/m2,table 1,-9999,-9999,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Musko et al., 1998","Musko, I. B., Lakatos, G., Biro, P., & Zolyomi, Z.",1998,Aspects of the population dynamics of Corophium curvispinum GO Sars in reed belts along a trophic gradient in Lake Balaton (Hungary),International review of hydrobiology,https://doi.org/10.1002/iroh.19980830509,NA,NA,Hungary,Lake Balaton eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epiphyton on Corophium curvispinum,NA,NA,NA,0.0598,-1.223,mean,mg/m2 to g/m2,table 1,-9999,-9999,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Naranjo et al., 2019","Naranjo, R. C., Niswonger, R. G., Smith, D., Rosenberry, D., & Chandra, S.",2019,Linkages between hydrology and seasonal variations of nutrients and periphyton in a large oligotrophic subalpine lake,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2018.11.033,NA,California and Nevada,United States of America,Lake Tahoe oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,-9999,-9999,NA,NA,NA,-9999,-9999,6.8,0.833,mean,none,table st4,13,1.114,none,table st2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Naranjo et al., 2019","Naranjo, R. C., Niswonger, R. G., Smith, D., Rosenberry, D., & Chandra, S.",2019,Linkages between hydrology and seasonal variations of nutrients and periphyton in a large oligotrophic subalpine lake,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2018.11.033,NA,California and Nevada,United States of America,Lake Tahoe oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,-9999,-9999,NA,NA,NA,-9999,-9999,10.8,1.033,mean,none,table st4,13,1.114,none,table st2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Naranjo et al., 2019","Naranjo, R. C., Niswonger, R. G., Smith, D., Rosenberry, D., & Chandra, S.",2019,Linkages between hydrology and seasonal variations of nutrients and periphyton in a large oligotrophic subalpine lake,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2018.11.033,NA,California and Nevada,United States of America,Lake Tahoe oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,-9999,-9999,NA,NA,NA,-9999,-9999,12.5,1.097,mean,none,table st4,13,1.114,none,table st2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Naranjo et al., 2019","Naranjo, R. C., Niswonger, R. G., Smith, D., Rosenberry, D., & Chandra, S.",2019,Linkages between hydrology and seasonal variations of nutrients and periphyton in a large oligotrophic subalpine lake,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2018.11.033,NA,California and Nevada,United States of America,Lake Tahoe oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,-9999,-9999,NA,NA,NA,-9999,-9999,12.7,1.104,mean,none,table st4,13,1.114,none,table st2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Naranjo et al., 2019","Naranjo, R. C., Niswonger, R. G., Smith, D., Rosenberry, D., & Chandra, S.",2019,Linkages between hydrology and seasonal variations of nutrients and periphyton in a large oligotrophic subalpine lake,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2018.11.033,NA,California and Nevada,United States of America,Lake Tahoe oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,-9999,-9999,NA,NA,NA,-9999,-9999,14.6,1.164,mean,none,table st4,13,1.114,none,table st2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Naranjo et al., 2019","Naranjo, R. C., Niswonger, R. G., Smith, D., Rosenberry, D., & Chandra, S.",2019,Linkages between hydrology and seasonal variations of nutrients and periphyton in a large oligotrophic subalpine lake,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2018.11.033,NA,California and Nevada,United States of America,Lake Tahoe oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,-9999,-9999,NA,NA,NA,-9999,-9999,17.3,1.238,mean,none,table st4,13,1.114,none,table st2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Naranjo et al., 2019","Naranjo, R. C., Niswonger, R. G., Smith, D., Rosenberry, D., & Chandra, S.",2019,Linkages between hydrology and seasonal variations of nutrients and periphyton in a large oligotrophic subalpine lake,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2018.11.033,NA,California and Nevada,United States of America,Lake Tahoe oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,-9999,-9999,NA,NA,NA,-9999,-9999,18.2,1.26,mean,none,table st4,13,1.114,none,table st2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Naranjo et al., 2019","Naranjo, R. C., Niswonger, R. G., Smith, D., Rosenberry, D., & Chandra, S.",2019,Linkages between hydrology and seasonal variations of nutrients and periphyton in a large oligotrophic subalpine lake,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2018.11.033,NA,California and Nevada,United States of America,Lake Tahoe oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,-9999,-9999,NA,NA,NA,-9999,-9999,19.5,1.29,mean,none,table st4,13,1.114,none,table st2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Naranjo et al., 2019","Naranjo, R. C., Niswonger, R. G., Smith, D., Rosenberry, D., & Chandra, S.",2019,Linkages between hydrology and seasonal variations of nutrients and periphyton in a large oligotrophic subalpine lake,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2018.11.033,NA,California and Nevada,United States of America,Lake Tahoe oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,-9999,-9999,NA,NA,NA,-9999,-9999,20,1.301,mean,none,table st4,13,1.114,none,table st2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Naranjo et al., 2019","Naranjo, R. C., Niswonger, R. G., Smith, D., Rosenberry, D., & Chandra, S.",2019,Linkages between hydrology and seasonal variations of nutrients and periphyton in a large oligotrophic subalpine lake,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2018.11.033,NA,California and Nevada,United States of America,Lake Tahoe oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,-9999,-9999,NA,NA,NA,-9999,-9999,20.2,1.305,mean,none,table st4,13,1.114,none,table st2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Naranjo et al., 2019","Naranjo, R. C., Niswonger, R. G., Smith, D., Rosenberry, D., & Chandra, S.",2019,Linkages between hydrology and seasonal variations of nutrients and periphyton in a large oligotrophic subalpine lake,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2018.11.033,NA,California and Nevada,United States of America,Lake Tahoe oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,-9999,-9999,NA,NA,NA,-9999,-9999,20.4,1.31,mean,none,table st4,13,1.114,none,table st2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Naranjo et al., 2019","Naranjo, R. C., Niswonger, R. G., Smith, D., Rosenberry, D., & Chandra, S.",2019,Linkages between hydrology and seasonal variations of nutrients and periphyton in a large oligotrophic subalpine lake,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2018.11.033,NA,California and Nevada,United States of America,Lake Tahoe oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,-9999,-9999,NA,NA,NA,-9999,-9999,20.4,1.31,mean,none,table st4,13,1.114,none,table st2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Naranjo et al., 2019","Naranjo, R. C., Niswonger, R. G., Smith, D., Rosenberry, D., & Chandra, S.",2019,Linkages between hydrology and seasonal variations of nutrients and periphyton in a large oligotrophic subalpine lake,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2018.11.033,NA,California and Nevada,United States of America,Lake Tahoe oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,-9999,-9999,NA,NA,NA,-9999,-9999,20.5,1.312,mean,none,table st4,13,1.114,none,table st2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Naranjo et al., 2019","Naranjo, R. C., Niswonger, R. G., Smith, D., Rosenberry, D., & Chandra, S.",2019,Linkages between hydrology and seasonal variations of nutrients and periphyton in a large oligotrophic subalpine lake,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2018.11.033,NA,California and Nevada,United States of America,Lake Tahoe oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,-9999,-9999,NA,NA,NA,-9999,-9999,21.6,1.334,mean,none,table st4,13,1.114,none,table st2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Naranjo et al., 2019","Naranjo, R. C., Niswonger, R. G., Smith, D., Rosenberry, D., & Chandra, S.",2019,Linkages between hydrology and seasonal variations of nutrients and periphyton in a large oligotrophic subalpine lake,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2018.11.033,NA,California and Nevada,United States of America,Lake Tahoe oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,-9999,-9999,NA,NA,NA,-9999,-9999,21.8,1.338,mean,none,table st4,13,1.114,none,table st2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Naranjo et al., 2019","Naranjo, R. C., Niswonger, R. G., Smith, D., Rosenberry, D., & Chandra, S.",2019,Linkages between hydrology and seasonal variations of nutrients and periphyton in a large oligotrophic subalpine lake,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2018.11.033,NA,California and Nevada,United States of America,Lake Tahoe oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,-9999,-9999,NA,NA,NA,-9999,-9999,22.6,1.354,mean,none,table st4,13,1.114,none,table st2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Naranjo et al., 2019","Naranjo, R. C., Niswonger, R. G., Smith, D., Rosenberry, D., & Chandra, S.",2019,Linkages between hydrology and seasonal variations of nutrients and periphyton in a large oligotrophic subalpine lake,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2018.11.033,NA,California and Nevada,United States of America,Lake Tahoe oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,-9999,-9999,NA,NA,NA,-9999,-9999,23,1.362,mean,none,table st4,13,1.114,none,table st2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Naranjo et al., 2019","Naranjo, R. C., Niswonger, R. G., Smith, D., Rosenberry, D., & Chandra, S.",2019,Linkages between hydrology and seasonal variations of nutrients and periphyton in a large oligotrophic subalpine lake,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2018.11.033,NA,California and Nevada,United States of America,Lake Tahoe oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,-9999,-9999,NA,NA,NA,-9999,-9999,23.1,1.364,mean,none,table st4,13,1.114,none,table st2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Naranjo et al., 2019","Naranjo, R. C., Niswonger, R. G., Smith, D., Rosenberry, D., & Chandra, S.",2019,Linkages between hydrology and seasonal variations of nutrients and periphyton in a large oligotrophic subalpine lake,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2018.11.033,NA,California and Nevada,United States of America,Lake Tahoe oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,-9999,-9999,NA,NA,NA,-9999,-9999,23.8,1.377,mean,none,table st4,13,1.114,none,table st2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Naranjo et al., 2019","Naranjo, R. C., Niswonger, R. G., Smith, D., Rosenberry, D., & Chandra, S.",2019,Linkages between hydrology and seasonal variations of nutrients and periphyton in a large oligotrophic subalpine lake,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2018.11.033,NA,California and Nevada,United States of America,Lake Tahoe oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,-9999,-9999,NA,NA,NA,-9999,-9999,24.6,1.391,mean,none,table st4,13,1.114,none,table st2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Naranjo et al., 2019","Naranjo, R. C., Niswonger, R. G., Smith, D., Rosenberry, D., & Chandra, S.",2019,Linkages between hydrology and seasonal variations of nutrients and periphyton in a large oligotrophic subalpine lake,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2018.11.033,NA,California and Nevada,United States of America,Lake Tahoe oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,-9999,-9999,NA,NA,NA,-9999,-9999,24.8,1.394,mean,none,table st4,13,1.114,none,table st2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Naranjo et al., 2019","Naranjo, R. C., Niswonger, R. G., Smith, D., Rosenberry, D., & Chandra, S.",2019,Linkages between hydrology and seasonal variations of nutrients and periphyton in a large oligotrophic subalpine lake,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2018.11.033,NA,California and Nevada,United States of America,Lake Tahoe oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,-9999,-9999,NA,NA,NA,-9999,-9999,24.9,1.396,mean,none,table st4,13,1.114,none,table st2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Naranjo et al., 2019","Naranjo, R. C., Niswonger, R. G., Smith, D., Rosenberry, D., & Chandra, S.",2019,Linkages between hydrology and seasonal variations of nutrients and periphyton in a large oligotrophic subalpine lake,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2018.11.033,NA,California and Nevada,United States of America,Lake Tahoe oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,-9999,-9999,NA,NA,NA,-9999,-9999,25.6,1.408,mean,none,table st4,13,1.114,none,table st2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Naranjo et al., 2019","Naranjo, R. C., Niswonger, R. G., Smith, D., Rosenberry, D., & Chandra, S.",2019,Linkages between hydrology and seasonal variations of nutrients and periphyton in a large oligotrophic subalpine lake,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2018.11.033,NA,California and Nevada,United States of America,Lake Tahoe oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,-9999,-9999,NA,NA,NA,-9999,-9999,25.9,1.413,mean,none,table st4,13,1.114,none,table st2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
